solutionid,title,description,topicid,solutiontype,statusid,attachments,helpdeskid
5,Forward DC@appshosting.com emails to helpdesk@appshosting.com,"<span>Logged into <a href=""http://mail.appshosting.com/"">http://mail.appshosting.com</a>  with <a href=""mailto:dc@appshosting.com"">dc@appshosting.com</a>  pass= Mynewpc30</span><br /><span> </span><br /><span>Went to thr rules wizard and created a forwarding rule that sends all email to <a href=""mailto:helpdesk@appshosting.com"">helpdesk@appshosting.com</a></span><br />",11,Solution,1,f,1
6,Sharepoint Drive Mapping,https://appshostingcom-1.sharepoint.microsoftonline.com/Infrastructure/Forms,310,Solution,2,f,1
8,DSI Unity Phone System,The attached document describes how to log into DSI's Unity Phone system.,305,Solution,2,t,1
9,Error: ESX1,<span>Delted some older backups on driveds F and G of IT-Srvr.</span><br />,305,Solution,2,f,1
10,Install and configure Oracle Enterprise Manager,"<span><span><span>Install and configure Oracle Enterprise Manager and Monitoring Agent.</span><br /><br /><span>OEM Info:</span><br /><span>server:  oem.appshosting.com<br />secure URL:  <a href=""https://oem.appshosting.com:1159/em"">https://oem.appshosting.com:1159/em</a></span><br /><span>non secure URL:  <a href=""http://oem.appshosting.com:4889/em"">http://oem.appshosting.com:4889/em</a> (or port 7777)</span><br /><br /><span>OMS agent registration password:  abc123</span><br /><span>OMS admin/sysman password:  Chicago12#</span><br /><span>Unix ID/vnc oraoem password:  M0n!t0rm3</span><br /></span><br /><span><strong>Notes:</strong></span></span><br /><span><span>1.<strong>  </strong>On each target database, make sure DBSNMP database account is unlocked and you can log into it.</span></span><br /><span><span>2.  If you receive following error, copy libXp.so.6 from another similar server:  Exception in thread &quot;main&quot; java.lang.UnsatisfiedLinkError: /ahi/tmp/OraInstall2010-08-14_03-08-40PM/jre/1.4.2/lib/i386/libawt.so: libXp.so.6: cannot open shared object file: No such file or directory<br /></span></span><br /><span><span></span><br /></span><br />",902,Solution,2,t,1
11,Linux email Relay Server,<span>Add the following line to sendmail.mc</span><br /><br /><span>FEATURE(promiscuous_relay)dnl<br /></span><br /><span>before the following lines</span><br /><br /><span>MAILER(smtp)dnl<br />MAILER(procmail)dnl<br />dnl MAILER(cyrusv2)dnl<br /></span><br /><br /><span>Then use m4 and restart the sendmail service.</span><br />,306,Solution,2,f,1
12,chroot functinality in sftp,"Let's assume you already have ssh set up and you want (chroot-sftp). So now we'll start configuring the second sshd daemon for sftp access:<br /><br />1. cp -p /etc/ssh/ssh_config /etc/ssh/sshd_config-internal (you can give any name to configuration file)<br /><br />2. Modify the new file as necessary. Most importantly, look at ListenAddress and Port. You can change the port address to e.g. 222<br /><br />3. Below is the diff command output to understand the changes between two config files.<br /><br /># diff sshd_config sshd_config-internal<br />13c13<br />&lt; Port 22<br />---<br />&gt; Port 222<br />41c41<br />&lt; #StrictModes yes<br />---<br />&gt; StrictModes no<br />111a112<br />&gt; PidFile /var/run/sshd-internal.pid<br />119c120,121<br />&lt; #Subsystem sftp internal-sftp<br />---<br />&gt; ChrootDirectory %h<br />&gt; Subsystem sftp internal-sftp<br /><br /><br /><br />4. Now copy, cp -p /etc/rc.d/init.d/sshd /etc/rc.d/init.d/sshd-internal and modify the new file to point to sshd-internal wherever the old file pointed to ssh. This includes executables, config files, pid files and key files, for example.<br /><br /># diff sshd sshd-internal<br />8c8<br />&lt; # processname: sshd<br />---<br />&gt; # processname: sshd-internal<br />12,13c12,13<br />&lt; # config: /etc/ssh/sshd_config<br />&lt; # pidfile: /var/run/sshd.pid<br />---<br />&gt; # config: /etc/ssh/sshd_config-internal<br />&gt; # pidfile: /var/run/sshd-internal.pid<br />19c19<br />&lt; [ -f /etc/sysconfig/sshd ] &amp;&amp; . /etc/sysconfig/sshd<br />---<br />&gt; [ -f /etc/sysconfig/sshd-internal ] &amp;&amp; . /etc/sysconfig/sshd-internal<br />22c22<br />&lt; prog=&quot;sshd&quot;<br />---<br />&gt; prog=&quot;sshd-internal&quot;<br />30c30<br />&lt; PID_FILE=/var/run/sshd.pid<br />---<br />&gt; PID_FILE=/var/run/sshd-internal.pid<br /><br /><br />Please note the above changes made in &quot;/etc/init.d/sshd-internal&quot; file.<br /><br />5. Now, cd /usr/sbin/<br />$ ln -s sshd sshd-internal<br />No changes to the executable<br /><br />6. cd /etc/pam.d/<br />$ ln -s sshd sshd-internal<br />No changes to the PAM module.<br /><br />7. Now create the &quot;/etc/sysconfig/sshd-internal&quot; file and add as below,<br /><br />#cat /etc/sysconfig/sshd-internal<br />OPTIONS=&quot;-f /etc/ssh/sshd_config-internal&quot;<br /><br />8. Now start the service as, service sshd-internal start<br /><br /><br />The importanat points to be noted here are<br /><br />Here SFTP is running on port 222.<br /><br />The home directory of the user should be owned by root and no others should have the write permissions on that directory. <br />Inside that directory you can create other directory and assign full permission to the user on that directory. So user can use that directory.<br />",306,Solution,2,f,1
77,Configuration of Windows 2008 Server - Radius for PIX VPN,"<table cellspacing=""0"" cellpadding=""4"" width=""100%"" border=""0""><tbody><tr><td colspan=""2"">Options</td></tr><tr><td><table cellspacing=""0"" cellpadding=""3"" border=""0""><tbody><tr><td valign=""top"" width=""25%"">Symptom: <br /><i><font size=""1"">(public)</font></i></td><td width=""75%""><span>I like connecting to my network using my pfSense firewall's built-in VPN server.  Following these steps, I can configure Windows Server 2008 to provide the authentication credentials for pfSense via RADIUS.  I figured this out using <a href=""http://support.mof.go.th/radius_windows.html""><font color=""#557799"">this great guide</font></a> that I referenced for Windows Server 2003...</span><br /><span><strong>Enable &quot;reversible password encryption&quot; for your domain users.<br /></strong><em>Globally:</em></span><br /><ol><li><div>Admin Tools - Group Policy Management</div></li><li><div>Choose your forest, domain and then right click your Default Domain Policy and choose Edit.</div></li><li><div>Computer Configuration -&gt; Policies -&gt; Windows Settings -&gt; Security Settings -&gt; Account Policies -&gt; Password Policy -&gt; Store passwords using reversible encryption = Enabled.</div></li></ol><span><em>Per User:</em></span><br /><ol><li><div>I prefer doing it globally, but you can do it on a per user basis by opening your domain user's properties and checking &quot;Store password using reversible encryption&quot; on the Account tab.</div></li></ol><span>*Restart the domain controller after these Group Policy changes.</span><br /><span><strong>Enable Windows Server 2008 Network Policy Server (NPS)</strong></span><br /><ol><li><div>Add the &quot;Network Policy and Access Services&quot; role to your domain controller.</div></li><li><div>Enable these role services during installation:<br />Network Policy Server<br />Routing &amp; Remote Access Services<br />   Remote Access Service<br />   Routing</div></li></ol><span><strong>Verify the RADIUS Port Numbers</strong></span><br /><ol><li><div>Server Manager -&gt; Roles -&gt; Network Policy and Access -&gt; Right-click NPS (Local) -&gt; Properties -&gt; Ports Tab.</div></li><li><div>Verify the defaults for Authentication are 1812,1645.</div></li><li><div>Verify the defaults for Accounting are 1813, 1646.</div></li><li><div>The 18 set is for a secure connection, or vice-versa.  You can change things to match your RADIUS client, but the defaults should be fine.</div></li></ol><span><strong>Add a new RADIUS Client</strong></span><br /><ol><li><div>NPS (Local) -&gt; RADIUS Clients and Servers -&gt; RADIUS Clients -&gt; Right-click Add new Client.</div></li><li><div>Add a name, the ip address of your client and create a shared secret.</div></li></ol><span><strong>Add a new Network Policy</strong></span><br /><ol><li><div>NPS (Local) -&gt; Policies -&gt; Right-click Network Policies -&gt; Add new.</div></li><li><div>Enter a name and leave Type of network access server as Unspecified.  Click Next.</div></li><li><div>Add a condition.  Choose Windows Groups.  Add a Group (&quot;Domain Users&quot; for example).  Click OK, then Next.</div></li><li><div>Choose Access Granted.  Click Next.</div></li><li><div>Leave the default Authentication Methods.  Click Next.</div></li><li><div>Leave the Default Constraints.  (Although they look like some cool new features you may want to use.)  Click Next.</div></li><li><div>Leave the Default Settings.  Click Next.</div></li><li><div>Click Finish.</div></li></ol><span><strong>Granting or Denying Access to Users</strong></span><br /><ol><li><div>Right click a domain user -&gt; Properties -&gt; Dial-in tab.</div></li><li><div>You can Grant or Deny here, but I just leave the NPS Policy we setup earlier to allow all domain users through.</div></li></ol><span><strong>Configure your RADIUS Client</strong></span><br /><ol><li><div>In this case, I enable a PPTP VPN server on my pfSense firewall and point it to my domain controller/NPS services machine where we just configured everything.  Input the shared secret and then login from anywhere!</div></li></ol></td></tr><tr><td valign=""top"" width=""25%"">Problem: <br /><i><font size=""1"">(public)</font></i></td><td width=""75%""><font size=""1""></font></td></tr><tr><td valign=""top"" width=""25%"">Solution: <br /><i><font size=""1"">(public)</font></i></td></tr></tbody></table></td></tr></tbody></table>",301,Solution,2,f,1
340,Out of memory error sb-db\r\nkernel: EXT3-fs error (device dm-5) in start_transaction: Journal has aborted.,"<p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">Ashok,</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">CAUSE : Out of memory Error</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">Feb  2 05:11:01 sb-db kernel: Out of Memory: Killed process 20863 (oracle).</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">Feb  2 05:12:45 sb-db kernel: oom-killer: gfp_mask=0xd0</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">Oracle is killing the processes due to out of memory.</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">What we did is:</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">------------------</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">In sysctl.conf placed the value   kernel.shmmax = 3589934592</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">In rc.local  placed the following values</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">echo 40960 &gt; /proc/sys/vm/min_free_kbytes</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">echo 250 &gt; /proc/sys/vm/lower_zone_protection</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><font size=""3"" face=""Calibri"">Then rebooted the machine. Now everything looks fine.</font><br /></p><p style=""MARGIN: 0.0in 0.0in 0.0pt;""><span><font size=""3"" face=""Calibri""> </font></span><br /><br /></p>",2403,Solution,2,f,1
13,Cisco ASA 5520 SmartNet Support Information,"<span style=""font-weight: bold;"">Cisco Smartnet Information</span><br /> <br /> CONTRACT INFORMATION<br /> Service Level:            IPS Svc, AR NBD(SU1)<br /> Reseller PO Number:        70F0654D<br /> Cisco Quote Number:        Q11766808<br /> Registered By:            richrad<br /> Registration Date:        23/APR/2010<br /> <br /> Install Site Location:        APPS HOSTING<br />                     1820 E GARRY AVE - STE 218   <br />                     SANTA ANA, CA 92705<br />                     UNITED STATES<br /> Product Part Number:        ASA5520-AIP10-K9<br /> Product Serial Number:        JMX1230L1MP<br /> Contract Number:            90855726<br /> Registration Type:        New Service<br /> Start Date:                22/APR/2010<br /> End Date:                21/APR/2011<br /> <br /> <br /> Please keep this information readily available. You will need this  information when calling our Technical Assistance Center (TAC) for  support    .<br /> <br /> The TAC can be reached at:<br /> <br /> Location:        Telephone:            E-Mail:<br /> North America    1-800-553-2447        tac@cisco.com:<br />             408-526-7209<br /> <br /> Europe        32-2-704-5555        euro-tac@cisco.com<br /> Asia-Pacific    61-2-8448-7107        asiapac-tac@cisco.com<br /> Australia        1-800-805-227        asiapac-tac@cisco.com",903,Solution,2,f,1
